,№,General standard #,Freq.,Radical,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,,,,Meaning
,244,0244,778,田 102.0,45886,"0,023719%",6,6,5,田,tián,tian,second,"field, arable land, cultivated"
,245,0245,136,田 102.0,292199,"0,151040%",4,2,5,由,yóu,you,second,"cause, reason; from"
,246,0246,97,口 30.2,370059,"0,191287%",3,2,5,只,zhǐ,zhi,third,"only, just, simply"
,247,0247,2704,口 30.2,2842,"0,001469%",6,7–9,5,叭,bā,ba,first,trumpet
,248,0248,456,口 30.2,90469,"0,046764%",3,4,5,史,shǐ,shi,third,"history, chronicle, annals"
,249,0249,800,大 37.2,44052,"0,022771%",6,5,5,央,yāng,yang,first,"center, conclude, run out; beg"
,250,0250,1089,儿 10.3,26386,"0,013639%",5,4,5,兄,xiōng,xiong,first,elder brother
,251,0251,3198,口 30.2,1492,"0,000771%",,,5,叽,jī,ji,first,sigh in disapproval; take small
,252,0252,3703,口 30.2,797,"0,000412%",6,7–9,5,叼,diāo,diao,first,holding in mouth
,253,0253,387,口 30.2,110131,"0,056928%",1,1,5,叫,jiào,jiao,fourth,"cry, shout; hail, greet, call"
,254,0254,2898,口 30.2,2165,"0,001119%",,,5,叩,kòu,kou,fourth,"knock, ask; kowtow, bow"
,255,0255,2844,口 30.2,2344,"0,001212%",6,7–9,5,叨,dāo,dao,first,talkative; quarrelous
,256,0256,489,口 30.2,83702,"0,043266%",4,3,5,另,lìng,ling,fourth,"another, separate, other"
,257,0257,1299,口 30.2,18587,"0,009608%",6,6,5,叹,tàn,tan,fourth,"sigh, admire"
,258,0258,3070,冂 13.3,1724,"0,000891%",,,5,冉,rǎn,ran,third,tender; weak; proceed gradually
,259,0259,3763,皿 108.0,745,"0,000385%",,,5,皿,mǐn,min,third,shallow container; rad. no. 108
,260,0260,2862,凵 17.3,2273,"0,001175%",6,7–9,5,凹,āo,ao,first,"concave, hollow, depressed; a pass, valley"
,261,0261,2594,囗 31.2,3242,"0,001676%",,7–9,5,囚,qiú,qiu,second,"prisoner, convict; confine"
,262,0262,226,囗 31.2,184874,"0,095563%",1,1,5,四,sì,si,fourth,four
,263,0263,34,生 100.0,682031,"0,352548%",1,1,5,生,shēng,sheng,first,"life, living, lifetime; birth"
,264,0264,2811,矢 111.0,2466,"0,001275%",,7–9,5,矢,shǐ,shi,third,"arrow, dart; vow, swear"
,265,0265,375,大 37.2,115346,"0,059623%",4,3,5,失,shī,shi,first,"lose; make mistake, neglect"
,266,0266,2914,丿 4.4,2131,"0,001102%",,,5,乍,zhà,zha,fourth,"first time, for the first time"
,267,0267,3587,禾 115.0,936,"0,000484%",,7–9,5,禾,hé,he,second,grain still on stalk; rice plant
,268,0268,1929,一 1.4,7886,"0,004076%",6,7–9,5,丘,qiū,qiu,first,hill; elder; empty; a name
,269,0269,820,人 9.3,42527,"0,021983%",4,3,5,付,fù,fu,fourth,"give, deliver, pay, hand over; entrust"
,270,0270,1712,人 9.3,10263,"0,005305%",6,7–9,5,仗,zhàng,zhang,fourth,"rely upon; protector; fight; war, weaponry"
,271,0271,174,人 9.3,231734,"0,119785%",5,3,5,代,dài,dai,fourth,"replace, replacement (of person or generation); era, generation"
,272,0272,1255,人 9.3,20051,"0,010365%",6,7–9,5,仙,xiān,xian,first,"Taoist super-being, transcendent, immortal"
,273,0273,13,人 9.3,1169853,"0,604707%",1,1,5,们,men,men,neutral,adjunct pronoun indicate plural
,274,0274,1283,人 9.3,19064,"0,009854%",6,6,5,仪,yí,yi,second,"ceremony, rites gifts; admire"
,275,0275,286,白 106.0,148728,"0,076879%",2,1,5,白,bái,bai,second,"white; pure, unblemished; bright"
,276,0276,1572,人 9.3,12428,"0,006424%",4,5,5,仔,zǐ,zi,third,"small thing, child; young animal"
,277,0277,10,人 9.3,1595761,"0,824862%",1,1,5,他,tā,ta,first,"other, another; he, she, it"
,278,0278,1857,斤 69.1,8464,"0,004375%",6,7–9,5,斥,chì,chi,fourth,"to scold, upbraid, accuse, reproach"
,279,0279,1827,瓜 97.0,8740,"0,004518%",2,4,5,瓜,guā,gua,first,"melon, gourd, cucumber; rad. 97"
,280,0280,458,丿 4.4,90127,"0,046587%",3,4,5,乎,hū,hu,first,interrogative or exclamatory final particle
,281,0281,1678,一 1.4,10665,"0,005513%",6,7–9,5,丛,cóng,cong,second,"bush, shrub; thicket; collection"
,282,0282,378,人 9.3,114570,"0,059222%",5,5,5,令,lìng,ling,fourth,"to order, to command, an order"
,283,0283,51,用 101.0,535480,"0,276794%",3,1,5,用,yòng,yong,fourth,"use, employ, apply, operate; use"
,284,0284,2603,用 101.0,3208,"0,001658%",5,7–9,5,甩,shuǎi,shuai,third,"throw away, discard"
,285,0285,640,卩 26.4,62179,"0,032141%",4,2,5,印,yìn,yin,fourth,"print, seal, stamp, chop, mark"
,286,0286,220,小 42.2,189785,"0,098101%",4,5,5,尔,ěr,er,third,"you; that, those; final particle"
,287,0287,619,丿 4.4,64965,"0,033581%",2,2,5,乐,lè,le,fourth,"happy, glad; enjoyable; music"
,288,0288,707,口 30.2,52891,"0,027340%",3,2,5,句,jù,ju,fourth,sentence
,289,0289,1622,勹 20.3,11540,"0,005965%",5,7–9,5,匆,cōng,cong,first,"hastily, in haste, hurriedly"
,290,0290,1525,冂 13.3,13462,"0,006959%",5,5,5,册,cè,ce,fourth,"book, volume, register, list"
,291,0291,3926,卩 26.3,617,"0,000319%",,,5,卯,mǎo,mao,third,4th terrestrial branch; period from 5-7 a.m.
,292,0292,767,犬 94.2,47098,"0,024345%",6,6,5,犯,fàn,fan,fourth,"commit crime, violate; criminal"
,293,0293,131,夕 36.2,295645,"0,152821%",2,1,5,外,wài,wai,fourth,"out, outside, external; foreign"
,294,0294,206,夂 34.2,194237,"0,100403%",4,2,5,处,chù,chu,fourth,"place, locale; department"
,295,0295,1384,冫 15.3,16368,"0,008461%",3,2,5,冬,dōng,dong,first,"winter, 11th lunar month"
,296,0296,1263,鳥 196.0,19698,"0,010182%",3,2,5,鸟,niǎo,niao,third,bird; KangXi radical 196
,297,0297,245,夂 34.2,176085,"0,091020%",2,2,5,务,wù,wu,fourth,"affairs, business; must, should"
,298,0298,454,勹 20.3,91240,"0,047163%",3,1,5,包,bāo,bao,first,"wrap, pack, bundle; package"
,299,0299,2173,食 184.2,5689,"0,002941%",6,7–9,5,饥,jī,ji,first,"hunger, starving; hungry; a famine"
,300,0300,87,丶 3.4,399693,"0,206605%",3,2,5,主,zhǔ,zhu,third,"master, chief owner; host; lord"
,301,0301,254,巾 50.2,169522,"0,087627%",3,2,5,市,shì,shi,fourth,"market, fair; city, town; trade"
,302,0302,197,立 117.0,204985,"0,105958%",5,3,5,立,lì,li,fourth,"stand; let stand; establish, set"
,303,0303,1719,馬 187.2,10128,"0,005235%",,7–9,5,冯,féng,feng,second,surname; gallop; by dint of
,304,0304,1717,玄 95.0,10151,"0,005247%",,7–9,5,玄,xuán,xuan,second,"deep, profound, abstruse; KangXi radical 95"
,305,0305,1113,門 169.2,25427,"0,013143%",5,4,5,闪,shǎn,shan,third,"flash; avoid, dodge, evade"
,306,0306,642,八 12.3,61951,"0,032023%",,7–9,5,兰,lán,lan,second,"orchid; elegant, graceful"
,307,0307,513,十 24.3,80183,"0,041447%",3,1,5,半,bàn,ban,fourth,half
,308,0308,2540,水 85.2,3564,"0,001842%",4,3,5,汁,zhī,zhi,first,"juice, liquor, fluid, sap, gravy, sauce"
,309,0309,1187,水 85.2,22608,"0,011686%",5,4,5,汇,huì,hui,fourth,"concourse; flow together, gather"
,310,0310,147,大 37.2,274911,"0,142104%",3,2,5,头,tóu,tou,second,"head; top; chief, first; boss"
,311,0311,711,水 85.2,52656,"0,027218%",1,1,5,汉,hàn,han,fourth,Chinese people; Chinese language
,312,0312,1019,宀 40.2,30001,"0,015508%",5,4,5,宁,níng,ning,second,"calm, peaceful, serene; healthy"
,313,0313,1940,穴 116.0,7772,"0,004017%",6,7–9,5,穴,xué,xue,second,"cave, den, hole; KangXi radical 116"
,314,0314,107,宀 40.2,346173,"0,178940%",2,2,5,它,tā,ta,first,it; other
,315,0315,833,言 149.3,41717,"0,021564%",4,2,5,讨,tǎo,tao,third,"to discuss; ask for, beg; demand; dun; marry"
,316,0316,448,冖 14.3,93710,"0,048439%",1,1,5,写,xiě,xie,third,"write; draw, sketch; compose"
,317,0317,339,言 149.3,125660,"0,064955%",2,2,5,让,ràng,rang,fourth,"allow, permit, yield, concede"
,318,0318,926,示 113.1,35612,"0,018408%",3,2,5,礼,lǐ,li,third,social custom; manners; courtesy
,319,0319,1022,言 149.3,29911,"0,015461%",5,3,5,训,xùn,xun,fourth,"teach, instruct; exegesis"
,320,0320,368,言 149.3,116810,"0,060380%",3,3,5,议,yì,yi,fourth,"consult, talk over, discuss"
,321,0321,248,心 61.1,174963,"0,090440%",3,2,5,必,bì,bi,fourth,"surely, most certainly; must"
,322,0322,1238,言 149.3,20488,"0,010590%",6,6,5,讯,xùn,xun,fourth,inquire; ask; examine; reproach
,323,0323,306,言 149.3,139501,"0,072109%",3,1,5,记,jì,ji,fourth,"record; keep in mind, remember"
,324,0324,842,水 85.1,40936,"0,021160%",4,2,5,永,yǒng,yong,third,"long, perpetual, eternal, forever"
,325,0325,278,口 30.2,155229,"0,080239%",2,2,5,司,sī,si,first,"take charge of, control, manage; officer"
,326,0326,654,尸 44.2,60474,"0,031260%",,7–9,5,尼,ní,ni,second,Buddhist nun; transliteration
,327,0327,113,氏 83.1,335796,"0,173576%",4,3,5,民,mín,min,second,"people, subjects, citizens"
,328,0328,1257,弓 57.2,19905,"0,010289%",,,5,弗,fú,fu,second,"not, negative"
,329,0329,2619,弓 57.2,3153,"0,001630%",,7–9,5,弘,hóng,hong,second,"enlarge, expand; liberal, great"
,330,0330,28,凵 17.3,755256,"0,390398%",1,1,5,出,chū,chu,first,"go out, send out; stand; produce"
,331,0331,2086,辵 162.2,6300,"0,003257%",6,7–9,5,辽,liáo,liao,second,"distant, far"
,332,0332,1278,女 38.2,19219,"0,009934%",2,1,5,奶,nǎi,nai,third,breast; milk; to breastfeed; mother
,333,0333,1402,女 38.2,15917,"0,008228%",6,7–9,5,奴,nú,nu,second,"slave, servant"
,334,0334,1214,口 30.2,21098,"0,010906%",5,4,5,召,zhào,zhao,fourth,imperial decree; summon
,335,0335,166,力 19.3,243648,"0,125944%",3,2,5,加,jiā,jia,first,"add to, increase, augment"
,336,0336,741,皮 107.0,49803,"0,025744%",3,3,5,皮,pí,pi,second,"skin, hide, fur, feather; outer"
,337,0337,316,辵 162.2,136277,"0,070443%",2,1,5,边,biān,bian,first,"edge, margin, side, border"
,338,0338,2094,子 39.2,6256,"0,003234%",5,7–9,5,孕,yùn,yun,fourth,"be pregnant, pregnancy"
,339,0339,47,又 29.3,572904,"0,296139%",3,2,5,发,fā,fa,first,"issue, dispatch, send out; hair"
,340,0340,960,土 32.2,33620,"0,017378%",6,6,5,圣,shèng,sheng,fourth,"holy, sacred"
,341,0341,33,寸 41.2,703632,"0,363713%",1,1,5,对,duì,dui,fourth,"correct, right; facing, opposed"
,342,0342,388,口 30.2,109362,"0,056530%",4,3,5,台,tái,tai,second,platform; unit; term of address
,343,0343,1441,矛 110.0,15059,"0,007784%",5,5,5,矛,máo,mao,second,"spear, lance; KangXi radical 110"
,344,0344,1723,糸 120.2,10064,"0,005202%",6,6,5,纠,jiū,jiu,first,"investigate, inspect"
,345,0345,565,毋 80.1,71462,"0,036939%",4,3,5,母,mǔ,mu,third,mother; female elders; female
,346,0346,1577,幺 52.2,12257,"0,006336%",5,4,5,幼,yòu,you,fourth,"infant, young child; immature"
,347,0347,1026,一 1.4,29585,"0,015293%",5,7–9,5,丝,sī,si,first,silk; fine thread; wire; strings
,348,0348,1363,邑 163.4,17153,"0,008867%",,7–9,6,邦,bāng,bang,first,"nation, country, state"
,349,0349,303,弋 56.3,142292,"0,073552%",4,3,6,式,shì,shi,fourth,"style, system, formula, rule"
,350,0350,2959,辵 162.3,2007,"0,001037%",,,6,迂,yū,yu,first,"doctrinaire, abstruse, unrealistic"
,351,0351,1087,刀 18.4,26453,"0,013674%",6,7–9,6,刑,xíng,xing,second,"punishment, penalty; law"
,352,0352,3205,戈 62.2,1479,"0,000765%",,,6,戎,róng,rong,second,"arms, armaments; military affair"
,353,0353,73,力 19.4,426839,"0,220637%",2,1,6,动,dòng,dong,fourth,"move, happen; movement, action"
,354,0354,2989,手 64.3,1921,"0,000993%",6,7–9,6,扛,káng,kang,second,carry on shoulders; lift
,355,0355,1892,寸 41.3,8200,"0,004239%",6,6,6,寺,sì,si,fourth,"court, office; temple, monastery"
,356,0356,856,口 30.3,40081,"0,020718%",6,6,6,吉,jí,ji,second,"lucky, propitious, good"
,357,0357,1625,手 64.3,11505,"0,005947%",6,6,6,扣,kòu,kou,fourth,"knock, strike, rap, tap; button"
,358,0358,495,老 125.0,82688,"0,042742%",2,1,6,考,kǎo,kao,third,"examine, test; investigate"
,359,0359,799,手 64.3,44052,"0,022771%",5,5,6,托,tuō,tuo,first,"to hold up with palm; to support, rely on"
,360,0360,179,老 125.0,223050,"0,115296%",1,1,6,老,lǎo,lao,third,"old, aged; experienced"
,361,0361,2384,工 48.3,4344,"0,002245%",6,6,6,巩,gǒng,gong,third,"bind; firm, secure, strong"
,362,0362,2634,土 32.4,3102,"0,001603%",4,4,6,圾,jī,ji,first,"garbage, rubbish; shaking; danger"
,363,0363,763,手 64.3,47543,"0,024575%",5,5,6,执,zhí,zhi,second,hold in hand; keep; carry out
,364,0364,1051,手 64.3,28331,"0,014645%",5,4,6,扩,kuò,kuo,fourth,"expand, enlarge, stretch"
,365,0365,1435,手 64.3,15140,"0,007826%",3,4,6,扫,sǎo,sao,third,"sweep, clear away; exterminate"
,366,0366,21,土 32.3,969349,"0,501065%",3,1,6,地,de,de,neutral,"earth; soil, ground; region"
,367,0367,249,土 32.3,173632,"0,089752%",2,1,6,场,chǎng,chang,third,"open space, field, market"
,368,0368,1084,手 64.3,26509,"0,013703%",4,4,6,扬,yáng,yang,second,"scatter, spread; praise"
,369,0369,887,耳 128.0,37939,"0,019611%",3,4,6,耳,ěr,er,third,"ear; merely, only; handle"
,370,0370,4246,艸 140.3,440,"0,000227%",,,6,芋,yù,yu,fourth,taro
,371,0371,330,八 12.4,128824,"0,066590%",2,2,6,共,gòng,gong,fourth,"together with, all, total; to share"
,372,0372,2251,艸 140.3,5174,"0,002674%",6,7–9,6,芒,máng,mang,second,Miscanthus sinensis
,373,0373,420,一 1.5,100251,"0,051821%",4,4,6,亚,yà,ya,fourth,Asia; second
,374,0374,2150,艸 140.4,5832,"0,003015%",,7–9,6,芝,zhī,zhi,first,Zoysia pungens
,375,0375,2544,木 75.2,3526,"0,001823%",6,7–9,6,朽,xiǔ,xiu,third,"decayed, rotten; rot, decay"
,376,0376,2092,木 75.2,6261,"0,003236%",6,7–9,6,朴,pǔ,pu,third,"simple, unadorned; sincere; surname; a tree"
,377,0377,111,木 75.2,339823,"0,175657%",1,1,6,机,jī,ji,first,desk; machine; moment
,378,0378,297,木 75.2,144506,"0,074696%",5,4,6,权,quán,quan,second,"power, right, authority"
,379,0379,46,辵 162.3,589925,"0,304937%",2,1,6,过,guò,guo,fourth,"pass, pass through, go across"
,380,0380,1138,臣 131.0,24553,"0,012692%",6,7–9,6,臣,chén,chen,second,"minister, statesman, official"
,381,0381,2311,口 30.3,4795,"0,002479%",,7–9,6,吏,lì,li,fourth,"government official, magistrate"
,382,0382,242,冂 13.4,179607,"0,092840%",1,1,6,再,zài,zai,fourth,"again, twice, re-"
,383,0383,735,十 24.4,50123,"0,025909%",6,5,6,协,xié,xie,second,be united; cooperate
,384,0384,167,襾 146.0,243619,"0,125929%",1,1,6,西,xī,xi,first,"west(ern); westward, occident"
,385,0385,756,厂 27.4,48038,"0,024831%",4,3,6,压,yā,ya,first,press; oppress; crush; pressure
,386,0386,1633,厂 27.4,11376,"0,005880%",4,5,6,厌,yàn,yan,fourth,"dislike, detest, reject; satiate"
,387,0387,3921,戈 62.2,619,"0,000320%",,,6,戌,xū,xu,first,11th terrestrial branch
,388,0388,6,土 32.3,2009181,"1,038563%",1,1,6,在,zài,zai,fourth,"be at, in, on; consist in, rest"
,389,0389,407,白 106.1,103938,"0,053726%",2,1,6,百,bǎi,bai,third,"one hundred; numerous, many"
,390,0390,8,月 74.2,1782004,"0,921133%",1,1,6,有,yǒu,you,third,"have, own, possess; exist"
,391,0391,384,子 39.3,110970,"0,057361%",4,3,6,存,cún,cun,second,"exist, live, be; survive; remain"
,392,0392,36,而 126.0,649239,"0,335597%",3,2,6,而,ér,er,second,and; and then; and yet; but
,393,0393,1128,頁 181.0,24861,"0,012851%",4,1,6,页,yè,ye,fourth,"page, sheet, leaf; rad. no. 181"
,394,0394,2110,匚 22.4,6142,"0,003175%",,7–9,6,匠,jiàng,jiang,fourth,"craftsman, artisan; workman"
,395,0395,1955,大 37.3,7594,"0,003925%",5,7–9,6,夸,kuā,kua,first,"extravagant, luxurious; handsome"
,396,0396,1199,大 37.3,22148,"0,011448%",6,6,6,夺,duó,duo,second,"take by force, rob, snatch"
,397,0397,1311,火 86.2,18298,"0,009458%",5,5,6,灰,huī,hui,first,"ashes; dust; lime, mortar"
,398,0398,289,辵 162.3,147907,"0,076454%",5,3,6,达,dá,da,second,"arrive at, reach; intelligent; smooth, slippery"
,399,0399,500,刀 18.4,82418,"0,042603%",4,4,6,列,liè,lie,fourth,"a line; to arrange in order, classify"
,400,0400,317,歹 78.2,136194,"0,070400%",4,3,6,死,sǐ,si,third,die; dead; death
,401,0401,59,戈 62.3,499007,"0,257941%",3,2,6,成,chéng,cheng,second,"completed, finished, fixed"
,402,0402,1758,一 1.5,9574,"0,004949%",5,5,6,夹,jiā,jia,first,be wedged or inserted between
,403,0403,2337,大 37.3,4638,"0,002397%",,7–9,6,夷,yí,yi,second,ancient barbarian tribes
,404,0404,1883,車 159.2,8273,"0,004276%",6,6,6,轨,guǐ,gui,third,"track, rut, path"
,405,0405,1539,邑 163.4,12952,"0,006695%",,7–9,6,邪,xié,xie,second,"wrong, evil, depraved, vicious, perverse, heterodox"
,406,0406,3264,儿 10.4,1375,"0,000711%",,,6,尧,yáo,yao,second,a legendary ancient emperor-sage
,407,0407,522,刀 18.4,78648,"0,040654%",4,2,6,划,huà,hua,fourth,to row or paddle boat; to scratch
,408,0408,1698,辵 162.3,10432,"0,005392%",6,7–9,6,迈,mài,mai,fourth,take a big stride; pass by
,409,0409,1093,比 81.2,26148,"0,013516%",4,4,6,毕,bì,bi,fourth,"end, finish, conclude; completed"
,410,0410,267,至 133.0,163582,"0,084557%",4,3,6,至,zhì,zhi,fourth,"reach, arrive; extremely, very"
,411,0411,116,止 77.2,318534,"0,164653%",4,3,6,此,cǐ,ci,third,"this, these; in this case, then"
,412,0412,2366,卜 25.4,4414,"0,002282%",,7–9,6,贞,zhēn,zhen,first,"virtuous, chaste, pure; loyal"
,413,0413,333,巾 50.3,128086,"0,066209%",1,1,6,师,shī,shi,first,"teacher, master, specialist"
,414,0414,1718,小 42.3,10137,"0,005240%",5,7–9,6,尘,chén,chen,second,"dust, dirt, ashes, cinders"
,415,0415,1321,小 42.3,18036,"0,009323%",6,6,6,尖,jiān,jian,first,"sharp, pointed, acute, keen"
,416,0416,1902,力 19.4,8067,"0,004170%",5,7–9,6,劣,liè,lie,fourth,"bad, inferior; slightly"
,417,0417,290,儿 10.4,147639,"0,076316%",4,3,6,光,guāng,guang,first,"light, brilliant, shine; only"
,418,0418,71,小 42.3,429274,"0,221895%",3,2,6,当,dāng,dang,first,"bear, accept, undertake; just"
,419,0419,462,日 72.2,89623,"0,046327%",2,1,6,早,zǎo,zao,third,early; soon; morning
,420,0420,2138,口 30.3,5891,"0,003045%",6,7–9,6,吁,xū,xu,first,"sh, hush; implore"
,421,0421,1653,口 30.3,11132,"0,005754%",5,5,6,吐,tǔ,tu,third,"vomit, spew out, cough up"
,422,0422,1466,口 30.3,14620,"0,007557%",5,5,6,吓,xià,xia,fourth,"scare, frighten; intimidate"
,423,0423,1287,虫 142.0,18909,"0,009774%",5,4,6,虫,chóng,chong,second,"insects, worms; KangXi radical 142"
,424,0424,1066,曰 73.2,27401,"0,014164%",6,5,6,曲,qū,qu,first,"crooked, bent; wrong, false"
,425,0425,405,囗 31.3,104151,"0,053837%",5,3,6,团,tuán,tuan,second,"sphere, ball, circle; mass, lump"
,426,0426,1716,口 30.3,10156,"0,005250%",,7–9,6,吕,lǚ,lü,third,surname; a musical note
,427,0427,69,口 30.3,437611,"0,226205%",1,1,6,同,tóng,tong,second,"same, similar; together with"
,428,0428,2050,口 30.3,6637,"0,003431%",6,6,6,吊,diào,diao,fourth,"condole, mourn, pity; hang"
,429,0429,475,口 30.3,85976,"0,044442%",1,1,6,吃,chī,chi,first,"eat; drink; suffer, endure, bear"
,430,0430,96,囗 31.3,371612,"0,192089%",2,2,6,因,yīn,yin,first,"cause, reason; by; because (of)"
,431,0431,924,口 30.4,35891,"0,018552%",4,4,6,吸,xī,xi,first,"inhale, suck in; absorb; attract"
,432,0432,453,口 30.3,91639,"0,047369%",1,1,6,吗,ma,ma,neutral,final interrogative particle
,433,0433,3551,口 30.3,973,"0,000503%",,,6,吆,yāo,yao,first,"bawl, yell, shout, cry out"
,434,0434,2636,山 46.3,3098,"0,001601%",5,7–9,6,屿,yǔ,yu,third,island
,435,0435,3851,山 46.3,663,"0,000343%",,7–9,6,屹,yì,yi,fourth,to rise high; to stand erect
,436,0436,772,山 46.3,46835,"0,024209%",1,1,6,岁,suì,sui,fourth,year; age; harvest
,437,0437,2459,巾 50.3,3874,"0,002003%",6,7–9,6,帆,fān,fan,first,sail; boat
,438,0438,172,囗 31.3,239243,"0,123667%",1,1,6,回,huí,hui,second,"return, turn around; a time"
,439,0439,1726,山 46.3,10036,"0,005188%",6,7–9,6,岂,qǐ,qi,third,how? what?
,440,0440,284,刀 18.4,149042,"0,077041%",4,4,6,则,zé,ze,second,"rule, law, regulation; grades"
,441,0441,621,刀 18.4,64622,"0,033404%",3,2,6,刚,gāng,gang,first,"hard, tough, rigid, strong"
,442,0442,605,网 122.0,67118,"0,034694%",3,1,6,网,wǎng,wang,third,net; network; KangXi radical 122
,443,0443,1009,肉 130.0,30820,"0,015931%",2,1,6,肉,ròu,rou,fourth,flesh; meat; KangXi radical 130
,444,0444,45,干 51.3,601887,"0,311120%",1,1,6,年,nián,nian,second,year
,445,0445,1120,木 75.2,25195,"0,013024%",,7–9,6,朱,zhū,zhu,first,"cinnabar, vermilion; surname"
,446,0446,188,儿 10.4,210628,"0,108875%",1,1,6,先,xiān,xian,first,"first, former, previous"
,447,0447,1639,一 1.5,11285,"0,005833%",4,5,6,丢,diū,diu,first,discard
